ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
26,0.25546358228156074,0.1873125806373605,0.21820125318371233,0.5435356212410387,0.09742722767837515,0.30859451306683494,0.4688198014606,0.17490968081438174,0.11010064859488951,0.2582442663237093,0.24922717882833884,0.534260758374169
27,0.4074135182403362,0.11340278713759938,0.396126091584278,0.6922193966717786,0.019170240578947,0.22851654188530054,0.3845624333579961,0.09200034691118335,0.5548774746788796,0.45278999505796735,0.12185841654152808,0.10391234745690463
28,0.02754342764891443,0.11673530368463592,0.07906343515968152,0.3704954897414633,0.04672802279551747,,,0.061653851234572676,,,0.24508226180571419,0.46319054752480143
29,0.2832066418653059,0.15838332588959583,0.07543796655735348,0.3948407320964935,0.16711983349196596,0.11320505679180008,0.19833718276546505,0.06924039639023544,0.07803163061566241,0.10748320867512813,0.5379752082015323,0.34892631847766703
30,0.2154858853325587,0.07759800177326756,0.09847152703720259,0.5240972428835662,0.05122946641617274,0.1329075190489627,0.11294069726224704,0.5159751911560073,0.1350341019175545,0.21364802620635087,0.19782165363695173,0.19369181250685882
31,0.3936328055714163,0.09290410064918843,0.21110291859030442,0.6442838650201677,0.053963393029342555,0.2932536880178039,0.1447495107289931,0.0735875220108906,0.07940951578585706,0.207849333167236,0.37952683782927077,0.5389071889101089
32,0.24285839977479218,0.1785027398774788,0.2724096711511692,0.7965195867263614,0.12819379810688925,0.37312669856602376,0.5846604520525935,0.0514817801616781,0.12143845663015558,0.15013457478028094,0.12845668394954424,0.6067865955481683
33,0.15793942871548264,0.16523049697264433,0.0636967711177088,,0.05378986301846015,0.14436914625980274,0.2957353181214207,,0.07499815099032123,0.1643606532003395,0.4370456724932506,0.40687271362026145
34,0.4949354347718763,0.09159864004216975,0.06777408205595277,0.47803577010278486,0.032501875031894556,0.13305506047401758,0.05015930977292352,0.03897417533535128,0.13001622269424956,0.2950145728067793,0.11246256910791289,0.19643980946740142
35,0.24484525079784586,0.08879705194315912,0.24615921429500354,0.518031034997704,0.26877427452548897,0.37251995802449317,0.3460453598331715,0.11083130023376386,0.09074507955008218,0.1530519344585841,0.34364283334870643,0.6899494985898235
36,0.3122203861403204,0.16972567964297505,0.30297661680449783,0.5226444254595632,0.06808257111514839,0.4393110779767893,0.46279298264117646,0.11194554448137242,0.13428672127534452,0.16760032309330722,0.2754378767542459,0.5684186701915451
37,0.22958279001120022,0.15014808744050495,0.3357071674879937,0.5166147301657183,0.018425019264153773,0.7176242397430455,0.27712879276706426,0.10000753084188016,0.19560074374863765,0.6461147163263131,0.10587971171209809,0.5011342294511484
38,0.298588176347249,0.049177652506029276,0.18657335292626753,0.598446534885646,0.04450535864893158,0.16265172292079355,0.09641553973876359,0.597040516834391,0.1268030760735264,0.3127554840250886,0.1915026564191711,0.28188638592656035
