ref_cell_id,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
37,0.32801217181470077,0.18953130427720144,0.16028798724502066,0.6336090483783365,0.08880333479730687,0.1474673436179797,0.2516509851690239,0.3981966154387966,0.1455546700747919,0.19730975126746592,0.16216494520466154,0.31747034241633126
38,0.41201881669582624,0.1667424193265208,0.08905045597534991,0.5025240772585581,0.021165077025528178,0.11672045616791807,0.11032875259060815,0.0890276851686515,0.08041032849636166,0.1012899725305177,0.2117429536023226,0.23169206058972255
39,0.13575551530509747,0.08768160279979034,0.08017505050844545,0.6346412373346593,0.04823287647308011,0.18312735267714134,0.17952545509170606,0.2577109696691932,0.1179026660691002,0.17431155345289764,0.2599187388844104,0.36972041153775004
40,0.15347325437890583,0.11165367652691117,0.3501059603606329,0.6697264421457109,0.03061150827471763,0.1921014278369128,0.2079893898468936,0.08197719441703313,0.5539817226157238,0.47013208383880795,0.09013859276949189,0.0985687804242012
41,0.45164992572833673,0.15082297400226724,0.26855473743644337,0.5564026879444919,0.01581787481656151,0.18135434857639485,0.1454333701711474,0.07415081550791937,0.23930823139386623,0.3011214303943749,0.08250055804318862,0.30317890821405125
42,0.3291075864206328,0.15882765184224099,0.23822853887164935,0.5169922394724449,0.3714983696673785,0.2147199683708534,0.5874659107917852,0.09074499028902405,0.1298527063656822,0.14283976882189325,0.4482657464301467,0.7108520628176757
43,0.2127780129548907,0.134218407419914,0.2665410928564999,0.7057073494977946,0.2057228662575752,0.35734163324817286,0.5560387959112162,0.06404532563540512,0.11703237673286385,0.20060971767796323,0.31881477838021083,0.7561615467162434
44,0.46522930010835556,0.09572624630158715,0.11095235480112906,0.4997216926624233,0.03203705820159423,0.11395687160990718,0.07639015135167901,0.04623369072609781,0.10123970793769373,0.15240028983286655,0.13158698910650712,0.33133312648783286
45,0.07952320255621205,0.07376689425317187,0.06720229179996116,0.5931999062875358,0.0299911921877819,0.16373540490983937,0.2700918365244728,0.07326369175638876,0.10040517186908546,0.1279937055951033,0.2173455493311768,0.34094119163581443
46,0.2595080426571391,0.1140529222298721,0.05108999569472608,0.5219353793919045,0.12118575280911988,0.13550340032139063,0.17600936260320996,0.23893775214174645,0.08203668089462897,0.16552720621227973,0.5033737498133809,0.3138797471832326
47,0.3898748624518633,0.11137740307627128,0.14082205994450045,0.48118149491144535,0.05921475033281113,0.11313635127361923,0.21112684215075542,0.11531339615732769,0.06705654748099275,0.10379697598955409,0.39029718485490744,0.4156109091405141
48,0.3150669241985132,0.18828947968496926,0.27551879376865196,0.5625792776701442,0.18615506118571137,0.3747838279793536,0.36039202144715216,0.11449941083559875,0.1773591617024141,0.14930418057226633,0.24579186727331673,0.5744004373011707
49,0.24683053240590733,0.11133861349133486,0.14563531978163646,0.5196718176796342,0.4466655984536498,0.1395293956593945,0.4971046796299986,0.18380079065111835,0.11996479542718079,0.2132559020636146,0.3607947515299203,0.535946593129462
50,0.18412578936187748,0.166080825878675,0.2025048264865503,0.5753986170598009,0.1758496884528634,0.19770220792554738,0.7026505998592489,0.07978813889165678,0.10572284286982991,0.1309401557704456,0.24003617567422586,0.7270494914606809
51,0.26610425196315346,0.15132769383270178,0.33926040958997034,0.5949775181033087,0.01888637503428153,0.6668213351557007,0.296047902514279,0.08635818623147297,0.19993313921542336,0.5154541437147555,0.13681405562063367,0.5624081440040173
52,0.4030722829745615,0.15009216277286616,0.26139569017540415,0.5735547173519975,0.03300499570739619,0.2917004741705716,0.2121932194620591,0.07177213886182794,0.12959243785088526,0.30370112897657436,0.1706402856959107,0.5820871638968832
53,0.41559256680293966,0.14589410023023,0.30900331289857463,0.6251839830699208,0.022862620483453274,0.25917606737726373,0.13826522887607778,0.07939403133050871,0.25274711871391453,0.4622404576354399,0.08587954284351883,0.32463997474095124
54,0.3938261052762323,0.20802949393361692,0.12975394528443102,0.4765221859548237,0.019373954795707495,0.1515613533236085,0.14093684424906483,0.2677150410111795,0.13211782915038944,0.14858861671718648,0.10221638170246804,0.23586940575699047
55,0.26164151114539713,0.21747173500303646,0.15456149589563242,0.4756419783638435,0.026221543338552495,0.15295847188798636,0.23497934058542935,0.5621155336779279,0.10932848216209878,0.1542586975977851,0.10873468812645466,0.20074691501263373
56,0.13219791415298218,0.077836780679054,0.13505613842519,0.5690500966953752,0.03315844825670523,0.20895153839758246,0.28681005829137957,0.12489370395567251,0.11331794851201127,0.20186215076862526,0.1894163072873311,0.45604260978638206
57,0.3991750433714616,0.08215780279885893,0.10411344226053869,0.518271647330676,0.028689289001073287,0.12096170518426023,0.09886560330933394,0.1469836216261803,0.06626048105506753,0.11244370093149837,0.18636614665975312,0.2797800548170069
58,0.32912413386838246,0.2249836108969932,0.11938813999490787,0.5014513417096388,0.015509178165750979,0.14116450170687586,0.14397968245058915,0.4419964720241518,0.1310415205720636,0.1665652481576292,0.0814769952840663,0.16513650960330215
59,0.09576441073937195,0.11985091671117791,0.1691465090002476,0.6092749446460104,0.02920552690438987,0.18518681582872373,0.2523346803352431,0.055709755428549675,0.22571604572036164,0.38619827715582666,0.15053043326169036,0.4231750755959191
60,0.08788801097922191,0.18810919305550894,0.08523778960487154,0.38499835459279813,0.023113124208979853,0.14602397887253346,0.22918874975805342,0.05030875603679079,0.14241227393682385,0.13770766632225817,0.21516343453660605,0.3612516732705085
61,0.4108086050692181,0.09437045125326701,0.20661335446945167,0.5878509206501525,0.03874516276567951,0.1971620213910544,0.1385177359906248,0.0662648215123565,0.09390410397581656,0.16639184649924157,0.2827498720649545,0.5443910093918094
62,0.1576225070796135,0.15383619513099187,0.15364801584142485,0.6798982638730824,0.15801483736085253,0.17031855098725654,0.6635846712058878,0.09256516015708002,0.09574162740242027,0.1526028894231749,0.23916395347104955,0.7399092861818043
63,0.07810157490223225,0.12137370772261272,0.23540325154604236,0.539303610154853,0.030025647444462483,0.14230011600087056,0.18319991610267258,0.07523637457612442,0.5744929600397164,0.25842986188121997,0.08852746661687022,0.10992641953538344
64,0.33342595621804505,0.13977097937943972,0.34570819458877106,0.6292943213086969,0.018170988757817707,0.5492256089938468,0.164326129246616,0.08084598110640252,0.2317881593994182,0.5748539807881656,0.10519290135113318,0.4474190906743392
65,0.25605441987201194,0.12159272598961139,0.3082468897755655,0.5136030957230779,0.14915731943144342,0.5395465950586554,0.3156739134797499,0.07780110257647241,0.15691898935289939,0.3931740975141283,0.33714950731102195,0.7282000915213257
66,0.2961015242687183,0.14026570864336232,0.20352821727896944,0.526290708515845,0.7644803795905606,0.13308346384078168,0.6655528232341356,0.08802038011814252,0.09899518689496808,0.11730942025420561,0.4569614775635776,0.7717713173261493
67,0.3749467513123354,0.17717889614511748,0.227204239313052,0.5293600324465959,0.16862820913742732,0.26973148874475944,0.26531430065122447,0.09562791900319423,0.13159589099177868,0.1651034053732046,0.20119974889839234,0.5530867362972184
68,0.32442451868881383,0.13976214475017582,0.12283139783126197,0.478318818494812,0.45577251521803885,0.10721445985258861,0.35286113408465175,0.09533989193628106,0.08351816395179296,0.09479911362079034,0.47638923388567855,0.5226398223746566
69,0.17696667334581387,0.10804744472570693,0.06304836431408135,0.5633343602822396,0.11942130493313195,0.15452751739366255,0.16117822006469615,0.304739423836386,0.09496746997901129,0.16770857968089836,0.33755316617431047,0.34239598687441214
70,0.21199785207961097,0.08241959283309272,0.2132391127604373,0.5701145992219124,0.13188175405464034,0.28419220989962574,0.4258543254846842,0.21358745975409124,0.1339998673706095,0.22242598386169699,0.316947551569345,0.6031736695159585
71,0.34487811166128773,0.20558650978283066,0.050504449783034935,0.5158917000267365,0.01795859267306486,0.1316735730870433,0.09512530652878835,0.23430325458607917,0.07192590425302238,0.10602940206551723,0.1789613317639726,0.16857181861490608
72,0.3737827203445102,0.10420272146242925,0.048125050656339916,0.4916796875254182,0.027074317381376247,0.12442883762203875,0.10686729608624085,0.11867064662041138,0.06694775796448252,0.12122982658459129,0.3312056126284075,0.16947866527600638
73,0.3907987880007419,0.06200032745570996,0.19625824798333552,0.5751578005624081,0.034659724522901225,0.2289754621399032,0.10022990916016086,0.15231446933664822,0.09457216007627804,0.14289132590914214,0.20516633837638212,0.45955403176243437
74,0.19939221519094402,0.12691486056156848,0.16416310674684337,0.5831920421583496,0.6402792603185751,0.19131387269144504,0.6056105044426061,0.08161699884458497,0.08463402067843409,0.14280992128536008,0.4867443562846907,0.7865276595621096
75,0.1737327143640545,0.13419564408704227,0.29266335799851284,0.5951011485854405,0.02109565131950284,0.5703915778727007,0.2845212020640335,0.07193374427221412,0.1830350784968101,0.663080592349335,0.10434132872097004,0.454379126651044
76,0.3399224939210294,0.12083992678542113,0.18193102239264808,0.5160221374665706,0.3447574081412998,0.11796315006473318,0.4161111987857541,0.08057793990264514,0.08196016467172047,0.12240961199592651,0.5997951091105175,0.6475770775744258
77,0.30364588410014487,0.21266275732244128,0.19969880946629037,0.4788303422779979,0.038879911901705526,0.18177606924494707,0.17074708264334576,0.3504269577602039,0.14248105805608732,0.19821397346470704,0.11693178799808239,0.23590931749741761
78,0.12853309873545876,0.2011414524803365,0.11455749443828789,0.433530228954029,0.02603505772811496,0.16956181696059938,0.3431986791267613,0.07883793848505889,0.13160940174128882,0.15473169570709525,0.11922902045681226,0.35843361851502276
79,0.16873886244322409,0.043490027633206106,0.07870260105155819,0.5582076738984028,0.0333371658237062,0.22813095533256403,0.15057147138488938,0.25134581157635977,0.11382613299362736,0.18076603011683,0.1415855975193493,0.22880426832060274
80,0.5072531131529354,0.13476622397110324,0.18477547978120382,0.5067645203026281,0.017361234992907953,0.1209425999616708,0.27444426735650573,0.0527141495475619,0.21025821645503506,0.1414030466221429,0.06973655369924728,0.23699687942319556
81,0.2882007821651441,0.11557977490983673,0.2758157574598648,0.5248468441442716,0.30270258926459664,0.19325778207715516,0.4587330706194754,0.08096100160099683,0.10816227334716674,0.13955270360846825,0.5509084345728189,0.7293733220252072
82,0.30239751967631073,0.1305487100462516,0.04327020529652513,0.5039232652922183,0.09555192554698168,0.12818048098929855,0.1289869997731242,0.1247819420505443,0.07513070509987599,0.11562551220668287,0.5166135961921287,0.27211140018278374
83,0.29537984326123073,0.19321466890427794,0.04871721185959854,0.6961595417111616,0.02656876333815353,0.13491409806786284,0.09291425891789587,0.1518825179450149,0.08570286527829536,0.13042384665122056,0.3295853426965296,0.17370450200193938
84,0.18233300280998918,0.07610399474422042,0.16298052696217705,0.5465110429151591,0.05953854533014339,0.21711491386696521,0.3777083962299208,0.30222639157219927,0.13662372353881924,0.2861034326674121,0.23893316812397958,0.42402358713001354
85,0.21786463866917052,0.1718353853617939,0.17374827430621784,0.57145811721934,0.36445962839418283,0.1417955560109144,0.8342220285797061,0.26909078970036726,0.08942297274096833,0.11350626087348323,0.28666234905337856,0.6523437021881465
86,0.1682682529728082,0.1621124087677842,0.11601565316107632,0.36653688330380385,0.152469876819928,0.13196819342929522,0.5862388088247558,0.12876225617413695,0.07217385837262826,0.1250747723210911,0.311144140940319,0.6612031117034602
87,0.3141696951322671,0.15010275106965154,0.4448397088523868,0.6394093507774629,0.016050886949453686,0.20393767944370667,0.20227078135743615,0.10828946239232941,0.6612126444246856,0.27687483202134117,0.11057587451024456,0.08616739038008905
88,0.3959645702671329,0.17033710896748014,0.04383952766223979,0.5192245984211257,0.014527628515313815,0.11307108478591826,0.0817833054163907,0.06144022706740865,0.06811671568532629,0.09855557591567411,0.239783030389892,0.1800034308134794
89,0.18422261734481968,0.1858971270451514,0.23389299182171458,0.44452998972596686,0.04691113975741379,0.30947151257695715,0.5898189357611543,0.08487675052853831,0.15436545125458298,0.1450784374240282,0.14199502978015235,0.5863503640471651
90,0.41588147508791146,0.15842070759729596,0.16180670879823364,0.4801615329450055,0.0310923683899076,0.1497638886542059,0.24046707665176933,0.07903490165835941,0.10189376402957791,0.13494871477295928,0.254763909452415,0.49494536460893473
91,0.35543077804475365,0.07382511727348008,0.2010487462015394,0.5555351022214181,0.0691652005028296,0.21159705373053442,0.13869524048431084,0.2779037563172289,0.08476824464524123,0.18600325028976433,0.3080771227946616,0.47816489407081303
